relative_path,source_split,source_class,target_class_id,target_class_name,status,reason,canonical_relative_path,bytes,width,height,format,mode,sha256,dhash
test_images/57.Myzus persicae Sulzer/023.jpg,test_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,test_images/57.Myzus persicae Sulzer/023.jpg,1188496,2272,1704,JPEG,RGB,82d6cbdc55751cf610f668e042c0c40f6204525824e3ee4696c0143bc626de96,334d99346cc73631
test_images/57.Myzus persicae Sulzer/024.jpg,test_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,test_images/57.Myzus persicae Sulzer/024.jpg,5837813,5616,3744,JPEG,RGB,e1958dfa6d014ae36d0a0375f9deb756dda0574d2cd25128cad5467031a4d931,7d7dbe3f378fc3e8
test_images/57.Myzus persicae Sulzer/025.jpg,test_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,test_images/57.Myzus persicae Sulzer/025.jpg,500350,1984,1116,JPEG,RGB,a0fa1a26ba23e6e0abab6c8538ced3059e31c87d25e8810c2c2ae7d3c6b3dce9,34373333e563f0e4
test_images/57.Myzus persicae Sulzer/026.jpg,test_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,test_images/57.Myzus persicae Sulzer/026.jpg,564576,1984,1116,JPEG,RGB,cfc68771df3a2bc788f16f81de879db2e5414841ac7d821eb32fb77fe42f239f,63c68080048f4771
test_images/57.Myzus persicae Sulzer/027.jpg,test_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,test_images/57.Myzus persicae Sulzer/027.jpg,62812,481,306,JPEG,RGB,f9eebc5d49e098e2562d802112599e06d6ad48e2622cdf4daa19658a7dbd183b,373af89990989811
test_images/57.Myzus persicae Sulzer/028.jpg,test_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,test_images/57.Myzus persicae Sulzer/028.jpg,404124,2272,1704,JPEG,RGB,52401536efd3b8782d43cd815d9dd9f3073300548d0aba7e5a0ef2fb7cd0eac6,ae2d4f5f3a3c694b
test_images/57.Myzus persicae Sulzer/029.jpg,test_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,test_images/57.Myzus persicae Sulzer/029.jpg,198328,2272,1704,JPEG,RGB,9a3bfea639d7d3e6a60a425756f61ae493c573612cbb4170db043e9141c84943,67f3313ce5f3b39b
test_images/57.Myzus persicae Sulzer/030.jpg,test_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,test_images/57.Myzus persicae Sulzer/030.jpg,455653,1936,1296,JPEG,RGB,c533de00fc142b18e6f05f34634beb8417a8dfd64c798419ca5e7301594ad7ac,838388943030948c
test_images/57.Myzus persicae Sulzer/031.jpg,test_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,test_images/57.Myzus persicae Sulzer/031.jpg,3287289,3968,2232,JPEG,RGB,742f28add68e9c461892ea1d553395be7e454937bbc96101b56f75a15e0b3ef3,e15078afeceeb7b7
test_images/58.Aphis gossypii Glover/000.jpg,test_images,58.Aphis gossypii Glover,9,蚜虫,reject,duplicate_or_near_duplicate:train_images/58.Aphis gossypii Glover/071.jpg,train_images/58.Aphis gossypii Glover/071.jpg,1329422,2272,1704,JPEG,RGB,a1288c2ddf4e7a52d5dc5e0dd2aba07be1603f3f2defeec9466f38ebf11126eb,97276fc0c9494c26
test_images/58.Aphis gossypii Glover/001.jpg,test_images,58.Aphis gossypii Glover,9,蚜虫,reject,duplicate_or_near_duplicate:train_images/58.Aphis gossypii Glover/074.jpg,train_images/58.Aphis gossypii Glover/074.jpg,1237384,2272,1704,JPEG,RGB,7594124a6e2c8a0d7abbd732cc5b4ee9a63563d6e1db23c4ce25d90b215fdbac,4b92332161432606
test_images/58.Aphis gossypii Glover/002.jpg,test_images,58.Aphis gossypii Glover,9,蚜虫,reject,duplicate_or_near_duplicate:test_images/58.Aphis gossypii Glover/010.jpg,test_images/58.Aphis gossypii Glover/010.jpg,1337317,2272,1704,JPEG,RGB,3282cfbf8e6692e5c69d4b488f0ea848cddbd3fa8de78df3b55a98c755320d77,6bca92246458f1e3
test_images/58.Aphis gossypii Glover/003.jpg,test_images,58.Aphis gossypii Glover,9,蚜虫,candidate,,test_images/58.Aphis gossypii Glover/003.jpg,14026416,7360,4912,MPO,RGB,8c9a94a0d26735ada02c582b789e06ad16dad8088ad0aca9054c47360790412a,cada5a11f68316c0
test_images/58.Aphis gossypii Glover/004.jpg,test_images,58.Aphis gossypii Glover,9,蚜虫,reject,duplicate_or_near_duplicate:train_images/58.Aphis gossypii Glover/035.jpg,train_images/58.Aphis gossypii Glover/035.jpg,13484341,7360,4912,MPO,RGB,84daa84db0eee85dc55e019065e709fdabadfe16803d746bf53add291d255fc4,8f8fd717b6ed0e3e
test_images/58.Aphis gossypii Glover/005.jpg,test_images,58.Aphis gossypii Glover,9,蚜虫,candidate,,test_images/58.Aphis gossypii Glover/005.jpg,13641774,7360,4912,MPO,RGB,2a37aa0859166ac5470922e69f708e143226095e704c55f2b0b04cec2f7e7e74,d8d51312f4321334
test_images/58.Aphis gossypii Glover/006.jpg,test_images,58.Aphis gossypii Glover,9,蚜虫,candidate,,test_images/58.Aphis gossypii Glover/006.jpg,14020391,7360,4912,MPO,RGB,655c63dbf0cdc00a76f96d18fe7dc03ca22b09aac9329bf95491be81c63a7f87,d3d73312e4323334
test_images/58.Aphis gossypii Glover/007.jpg,test_images,58.Aphis gossypii Glover,9,蚜虫,candidate,,test_images/58.Aphis gossypii Glover/007.jpg,13567880,7360,4912,MPO,RGB,79756603f510a24cd85407fca73daf014c06a67334a491d4a37e25343163314c,076827a6b389c0c3
test_images/58.Aphis gossypii Glover/008.jpg,test_images,58.Aphis gossypii Glover,9,蚜虫,candidate,,test_images/58.Aphis gossypii Glover/008.jpg,13560874,7360,4912,MPO,RGB,6d1d368aeb24a709bfa0901305bc0a0163f1a3012641fe73c846edb553d1738e,80808130d0138080
test_images/58.Aphis gossypii Glover/009.jpg,test_images,58.Aphis gossypii Glover,9,蚜虫,reject,duplicate_or_near_duplicate:train_images/58.Aphis gossypii Glover/003.jpg,train_images/58.Aphis gossypii Glover/003.jpg,1322428,2272,1704,JPEG,RGB,4b59b42edb990bbbaab582e7cceb85861d48bdee591f1d2bb1163af4965d05a5,8989132430616468
test_images/58.Aphis gossypii Glover/010.jpg,test_images,58.Aphis gossypii Glover,9,蚜虫,candidate,,test_images/58.Aphis gossypii Glover/010.jpg,1337317,2272,1704,JPEG,RGB,3282cfbf8e6692e5c69d4b488f0ea848cddbd3fa8de78df3b55a98c755320d77,6bca92246458f1e3
test_images/58.Aphis gossypii Glover/011.jpg,test_images,58.Aphis gossypii Glover,9,蚜虫,candidate,,test_images/58.Aphis gossypii Glover/011.jpg,20899272,7360,4912,MPO,RGB,c9a763d63fb06f4df50356b7b4f8182caafd45068eeff565437bc2a04205e52f,7c3e4ccfb3abcfe7
test_images/58.Aphis gossypii Glover/012.jpg,test_images,58.Aphis gossypii Glover,9,蚜虫,reject,unreadable:OSError:broken data stream when reading image file,,20353766,,,,,,
test_images/58.Aphis gossypii Glover/013.jpg,test_images,58.Aphis gossypii Glover,9,蚜虫,candidate,,test_images/58.Aphis gossypii Glover/013.jpg,19624635,7360,4912,MPO,RGB,08935bc98b3a73a90cb199cf2d10ce9aa6785a465d4b25b455cb32c54fdfe982,232e77716b271f0d
test_images/58.Aphis gossypii Glover/014.jpg,test_images,58.Aphis gossypii Glover,9,蚜虫,candidate,,test_images/58.Aphis gossypii Glover/014.jpg,19352524,7360,4912,MPO,RGB,25365d9ea0f001a159b436233090e9383d095accc17dcff98d2948177ddb5a2e,4e4e8d9ba6bece66
test_images/58.Aphis gossypii Glover/015.jpg,test_images,58.Aphis gossypii Glover,9,蚜虫,candidate,,test_images/58.Aphis gossypii Glover/015.jpg,18598306,7360,4912,MPO,RGB,3571fc408a871f1f75c773b8db642633d92f309bf23995a1a48e49ee27739f54,c9dcdbc366582c36
test_images/58.Aphis gossypii Glover/016.jpg,test_images,58.Aphis gossypii Glover,9,蚜虫,candidate,,test_images/58.Aphis gossypii Glover/016.jpg,169236,968,648,JPEG,RGB,ba43acf80fb77a8562d1aa23d6407d2abc567c320dbb41061fe40ef5e8941e7d,9980116f5bc8f066
train_images/57.Myzus persicae Sulzer/000.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/000.jpg,109006,580,428,JPEG,RGB,25141dfd05aad4ee03d76bb461f6815299167a9294e1344891c1786879025557,53959d197b7f7fff
train_images/57.Myzus persicae Sulzer/001.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,reject,unreadable:OSError:broken data stream when reading image file,,4882283,,,,,,
train_images/57.Myzus persicae Sulzer/002.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/002.jpg,5409679,3872,2592,JPEG,RGB,75c86186eae2f1b336e3ae89e7e5f1005ea2cee661a76ffcf2787db7b9dfad1b,8797262118387070
train_images/57.Myzus persicae Sulzer/003.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/003.jpg,224934,1079,739,JPEG,RGB,b49edca9ad73051bacc95a6d6b1b7f2590e14df9ba32e354b55108e6a2e48a8b,973e24b5f4f9fcdc
train_images/57.Myzus persicae Sulzer/004.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/004.jpg,58303,341,258,JPEG,RGB,7cd89631b0b12f6542c4a0020f6f2270100fe3cd38733e595cc1c359fc456a79,e4f63c1c2e132911
train_images/57.Myzus persicae Sulzer/005.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/005.jpg,55291,368,247,JPEG,RGB,3baabcdfd60481e48ef12e5bdaca0ff3553eb77f9b692642ff626243a180cf4b,363a1c4c2c3687a3
train_images/57.Myzus persicae Sulzer/006.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/006.jpg,2811876,3008,2000,JPEG,RGB,022582b981f44db3b57dc34fe2fff763b99fa8ca463688a1445ddbee5d191350,648d9870e1ab4963
train_images/57.Myzus persicae Sulzer/007.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/007.jpg,2437287,3008,2000,JPEG,RGB,358a9ebe8cee440eefbc2c4af063e37fc47afcf3f418b4290138c449484a4293,d4765e6733271797
train_images/57.Myzus persicae Sulzer/008.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/008.jpg,1257142,2272,1704,JPEG,RGB,43265aecceca1827f60f9ff35b901eb09f865c70fd75719ccd70b35181964f42,6554d3292f675551
train_images/57.Myzus persicae Sulzer/009.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/009.jpg,2333675,3008,2000,JPEG,RGB,7fe8bf0f9f4cef6bceebd41696bf7dacde87c6c4bacc64051406c5ca604baec1,ae9f13b4d6dbdb9c
train_images/57.Myzus persicae Sulzer/010.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/010.jpg,2653836,3008,2000,JPEG,RGB,b4259f91e46ccced5867449c55e5a0e16905003619e8a904010d35bf3bf2e6ae,cdc58f1b41909211
train_images/57.Myzus persicae Sulzer/011.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/011.jpg,1319097,2272,1704,JPEG,RGB,df3ce4a9883b0fb9a1a9316105225b860a7f9a43c93e8e78b37758308f8db39e,c60d1b73db3d3fdc
train_images/57.Myzus persicae Sulzer/012.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/012.jpg,1257120,2272,1704,JPEG,RGB,18abf4fbfdab58bd1306396aa60c49d846be96b11eee66d26c59199a7a0c708e,c8410303893fffbe
train_images/57.Myzus persicae Sulzer/013.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/013.jpg,1284656,2272,1704,JPEG,RGB,62a73e186f98317fe4bc7b38eb626fc991247f5700d2df3b20aa832f0fb34d09,67478f153fef431d
train_images/57.Myzus persicae Sulzer/014.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/014.jpg,1256574,2272,1704,JPEG,RGB,6843d8fa1a4c2a313ad197cd808fa7c41f4568ac864c15dbfdac13db284aab8d,6767cf170f6f031d
train_images/57.Myzus persicae Sulzer/015.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,reject,duplicate_or_near_duplicate:train_images/57.Myzus persicae Sulzer/116.jpg,train_images/57.Myzus persicae Sulzer/116.jpg,1399456,2272,1704,JPEG,RGB,b25f83579e4b33e48a097a3c2611b6443733010c6e9a352bc7723895625bf3b7,b399095e3feffe7e
train_images/57.Myzus persicae Sulzer/016.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,reject,duplicate_or_near_duplicate:train_images/57.Myzus persicae Sulzer/117.jpg,train_images/57.Myzus persicae Sulzer/117.jpg,1284735,2272,1704,JPEG,RGB,72802f14685a851fcc85b56f9b698430ee932825bb6285103605056e75fca25e,bddd6e361b8d477f
train_images/57.Myzus persicae Sulzer/017.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,reject,duplicate_or_near_duplicate:train_images/57.Myzus persicae Sulzer/119.jpg,train_images/57.Myzus persicae Sulzer/119.jpg,1271942,2272,1704,JPEG,RGB,7a14d1223ba43e3a2d46aab3a14c8f4a8b24e31786a8fe3ca9190b65d6c47527,c7fbdcf72fe4e092
train_images/57.Myzus persicae Sulzer/018.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/018.jpg,11727433,2272,1704,TIFF,RGB,5bd91f281a3db2d23ff6eabbc2571addc924f639e2d9e687c47adf2dff2722e9,3763676337776777
train_images/57.Myzus persicae Sulzer/019.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/019.jpg,1298424,2272,1704,JPEG,RGB,170b8777773aaeffaecfd1b5cf7dce21a91927eab12f9a5126f4c168f173f76a,46c44133333ea597
train_images/57.Myzus persicae Sulzer/020.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,reject,unreadable:OSError:broken data stream when reading image file,,1287254,,,,,,
train_images/57.Myzus persicae Sulzer/021.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,reject,unreadable:OSError:broken data stream when reading image file,,1285653,,,,,,
train_images/57.Myzus persicae Sulzer/022.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/022.jpg,430349,2272,1704,JPEG,RGB,44fa771fb9b09f86216a759deb70e2c62bcd29e15f999c80ab263728eb187e23,2d2c1a29c9c95866
train_images/57.Myzus persicae Sulzer/023.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/023.jpg,2714212,3008,2000,JPEG,RGB,f433099bb533fa922688eff265d6d7970463baac440bff38d86717e2313adbd0,61cc9e36f7464f4e
train_images/57.Myzus persicae Sulzer/024.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/024.jpg,2667107,3008,2000,JPEG,RGB,fd71550232de7f9ca4d01738b412bfd6ded9c8fda7c06b9077a150dc4b1d3ab4,6d6e4ad9e98bb135
train_images/57.Myzus persicae Sulzer/025.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/025.jpg,2544578,3008,2000,JPEG,RGB,eacf6d91d61b0d6eeff81365aa2c54395970687185c60b3e79bef7cc459d9790,76dbcd93b3931723
train_images/57.Myzus persicae Sulzer/026.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/026.jpg,2092692,3008,2000,JPEG,RGB,e246d0cd0c8053907c27004b4d2c902d5fae0335501fae98d66c88fe4c52e0b8,894999111101e1f1
train_images/57.Myzus persicae Sulzer/027.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/027.jpg,2424364,3008,2000,JPEG,RGB,7185e439691d5801676c234495094017993812364a87c78272c08fa3a42e953e,3031323232204fff
train_images/57.Myzus persicae Sulzer/028.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,reject,duplicate_or_near_duplicate:train_images/57.Myzus persicae Sulzer/121.jpg,train_images/57.Myzus persicae Sulzer/121.jpg,1266917,2272,1704,JPEG,RGB,76809e9f5fa13345748139c43727d45ad490663787e3606b1cdcb8f06a3fdbaf,7ae3f434321a9e4e
train_images/57.Myzus persicae Sulzer/029.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/029.jpg,3586416,3872,2592,JPEG,RGB,1ad0fc69620ce9a0154b23962396bbaddbeac37ff2479d5ad941125f439cc721,ff7fbf7ff9c7e3f2
train_images/57.Myzus persicae Sulzer/030.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/030.jpg,3670800,3872,2592,JPEG,RGB,f74ef1b219c3864887d53463162dc5df5fdb69a5f4b95486d6bdb35334bb49b5,fcffff7ff9c7e3e2
train_images/57.Myzus persicae Sulzer/031.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/031.jpg,2988265,3872,2592,JPEG,RGB,37e43247abe66ea63c079698e8ff0d433c3ece4411c08f88f2871b0ecede8922,e379f5d131198d03
train_images/57.Myzus persicae Sulzer/032.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/032.jpg,3132782,3872,2592,JPEG,RGB,0ec3c38f0a780ef47efc9f3c09a12a3f8c03081d114ebb82375364c36d87bb38,3e3c99f3362c3898
train_images/57.Myzus persicae Sulzer/033.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/033.jpg,3553960,3872,2592,JPEG,RGB,2f0414301dfb0ebb62d3fd5a23f6953aab83f36812f97a0ef07e157c3fd04475,594b8bcb4a2e19cb
train_images/57.Myzus persicae Sulzer/034.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/034.jpg,3360311,3872,2592,JPEG,RGB,a85ce7ed6b958806adb10d5605d7f72c0ad90ae3ecab58970673f205dae72f1e,3a989c1c4c8dc566
train_images/57.Myzus persicae Sulzer/035.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/035.jpg,3349350,3872,2592,JPEG,RGB,d55e4e135f442f06c56b243e8cc7fa7d7480cc3f2d55057bfe382e0906b0687e,3c98999c4c8ccca6
train_images/57.Myzus persicae Sulzer/036.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/036.jpg,3487165,3872,2592,JPEG,RGB,499fe60a75bb2b581f90b2a636c88e44d11c3ac713bcb327058f55c49eb194ea,67c6c0831ffc9833
train_images/57.Myzus persicae Sulzer/037.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/037.jpg,3134735,3872,2592,JPEG,RGB,43cc9fefe79b34a7a0dd033c91f45a8b2e8ea37fe5f5959ab94dc3efe5171b50,c0c0c0f188c00000
train_images/57.Myzus persicae Sulzer/038.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,reject,unreadable:OSError:broken data stream when reading image file,,3041796,,,,,,
train_images/57.Myzus persicae Sulzer/039.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/039.jpg,2910256,3872,2592,JPEG,RGB,69bc168b5f48144b8a61a7a6c7fcf88da6ab35c582c340527dcb61cde0f22910,1b1f486c59222000
train_images/57.Myzus persicae Sulzer/040.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/040.jpg,2795309,3872,2592,JPEG,RGB,6aa7ee3ec73b537bf34e0fd8961ec484df59b5e22bea17e613ee98d51e71558e,ef3f486c19612200
train_images/57.Myzus persicae Sulzer/041.jpg,train_images,57.Myzus persicae Sulzer,9,蚜虫,candidate,,train_images/57.Myzus persicae Sulzer/041.jpg,2840029,3872,2592,JPEG,RGB,6b6a5cbec0be09e1aafb4c7830d660be7de27b08ae83ea2a89fb2c26b5540cbc,6666dc4819622040
