canonical_class	severity_level	treatment_pair_id	knowledge_document	exact_treatment_heading	treatment_section_sha256	source_id	source_title	source_url	source_type	source_location_in_document	resolution_status	notes
番茄晚疫病	中度	番茄晚疫病-中度	knowledge\baidu-baike-20260818\documents\06.md	### 中度	E8FE35B08C8A2B203EEA812C247C2D04A0220516009CBEC3DCEAFBA2C779810A	06-T1; 06-T2	园艺作物应对高温暴雨洪涝生产技术指导意见 | 2025年园艺作物重大病虫害防控技术方案	https://zzys.moa.gov.cn/gdxw/202007/t20200710_6348404.htm | https://www.agri.cn/sc/nszd/202502/t20250228_8758865.htm	农业农村部种植业管理司 | 中国农业农村信息网 / 全国农技中心	防治方法/### 中度; 防治措施来源	RESOLVED	Inline treatment citation resolved in same document source block.
番茄晚疫病	重度	番茄晚疫病-重度	knowledge\baidu-baike-20260818\documents\06.md	### 重度	AEFA4807BAB8CEFDB4DAD00D5254C2722D881221A6C00BED46C5F263976A04C7	06-T1; 06-T2	园艺作物应对高温暴雨洪涝生产技术指导意见 | 2025年园艺作物重大病虫害防控技术方案	https://zzys.moa.gov.cn/gdxw/202007/t20200710_6348404.htm | https://www.agri.cn/sc/nszd/202502/t20250228_8758865.htm	农业农村部种植业管理司 | 中国农业农村信息网 / 全国农技中心	防治方法/### 重度; 防治措施来源	RESOLVED	Inline treatment citation resolved in same document source block.
马铃薯晚疫病	轻度	马铃薯晚疫病-轻度	knowledge\baidu-baike-20260818\documents\07.md	### 轻度	112D8C029574EE5AA6E8C8ABA51F576DC861DA4C4D18621415D393140F524931	16-T1; 16-T2	2026年马铃薯重大病虫害防控技术方案 | 2025年粮食作物重大病虫害防控技术方案	https://nyj.nanyang.gov.cn/2026/03-31/1394358.html | https://www.agri.cn/sc/nszd/202502/t20250228_8758867.htm	南阳市农业农村局 | 中国农业农村信息网 / 全国农技中心	防治方法/### 轻度; 防治措施来源	RESOLVED	Inline treatment citation resolved in same document source block.
马铃薯晚疫病	中度	马铃薯晚疫病-中度	knowledge\baidu-baike-20260818\documents\07.md	### 中度	5C73EAF03C0B3403835B03F8C1CD75DAA25C8BCC86D351F53821EB369584B9B4	16-T1; 16-T2	2026年马铃薯重大病虫害防控技术方案 | 2025年粮食作物重大病虫害防控技术方案	https://nyj.nanyang.gov.cn/2026/03-31/1394358.html | https://www.agri.cn/sc/nszd/202502/t20250228_8758867.htm	南阳市农业农村局 | 中国农业农村信息网 / 全国农技中心	防治方法/### 中度; 防治措施来源	RESOLVED	Inline treatment citation resolved in same document source block.
马铃薯晚疫病	重度	马铃薯晚疫病-重度	knowledge\baidu-baike-20260818\documents\07.md	### 重度	8F9EBBC296C4AF4C999F2C8A35DBE00383EB5309179287E9E58FF8FA691367F4	16-T1; 16-T2; 16-T3	2026年马铃薯重大病虫害防控技术方案 | 2025年粮食作物重大病虫害防控技术方案 | 马铃薯贮藏保鲜操作规程	https://nyj.nanyang.gov.cn/2026/03-31/1394358.html | https://www.agri.cn/sc/nszd/202502/t20250228_8758867.htm | https://scs.moa.gov.cn/ccll/jszn/202302/t20230203_6419765.htm	南阳市农业农村局 | 中国农业农村信息网 / 全国农技中心 | 农业农村部农产品冷链物流标准化技术委员会	防治方法/### 重度; 防治措施来源	RESOLVED	Inline treatment citation resolved in same document source block.
芫菁	轻度	芫菁-轻度	knowledge\baidu-baike-20260818\documents\08.md	### 轻度	C7D316FA534492DB40E003236BE85D03B50C9A0A7977C2FC915629C318E132E0	09-T1; 09-T2	达拉特旗：病虫情报动态第二十期——芫菁在我旗首次发生 | 《大足病虫情报》2026年第十期 红头芫菁的发生及防治方法	https://nmj.ordos.gov.cn/xwdt/qqdt/202302/t20230228_3352605.html | https://www.dazu.gov.cn/qzfbm/qnyncw/zwxx_53317/gggs/202606/t20260622_15768429.html	鄂尔多斯市农牧局 / 达拉特旗农牧技术推广中心 | 重庆市大足区人民政府 / 农业技术服务中心	防治方法/### 轻度; 防治措施来源	RESOLVED	Inline treatment citation resolved in same document source block.
芫菁	中度	芫菁-中度	knowledge\baidu-baike-20260818\documents\08.md	### 中度	621F9C64581D039BA1D2944DF2B6B06C8CF280DC9D0634886AF571C25807D266	09-T1	达拉特旗：病虫情报动态第二十期——芫菁在我旗首次发生	https://nmj.ordos.gov.cn/xwdt/qqdt/202302/t20230228_3352605.html	鄂尔多斯市农牧局 / 达拉特旗农牧技术推广中心	防治方法/### 中度; 防治措施来源	RESOLVED	Inline treatment citation resolved in same document source block.
芫菁	重度	芫菁-重度	knowledge\baidu-baike-20260818\documents\08.md	### 重度	D6BA4AFE0A8D9499D4D1701EAEA206121C21E300955C6E635D22281CC894562D	09-T1; 09-T2	达拉特旗：病虫情报动态第二十期——芫菁在我旗首次发生 | 《大足病虫情报》2026年第十期 红头芫菁的发生及防治方法	https://nmj.ordos.gov.cn/xwdt/qqdt/202302/t20230228_3352605.html | https://www.dazu.gov.cn/qzfbm/qnyncw/zwxx_53317/gggs/202606/t20260622_15768429.html	鄂尔多斯市农牧局 / 达拉特旗农牧技术推广中心 | 重庆市大足区人民政府 / 农业技术服务中心	防治方法/### 重度; 防治措施来源	RESOLVED	Inline treatment citation resolved in same document source block.
蚜虫	轻度	蚜虫-轻度	knowledge\baidu-baike-20260818\documents\09.md	### 轻度	F637F59A0B729212567BBC37CD5CA1B3C9FB5E1F5A572326417FE76CA2BC2D85	10-T1; 10-T2	2024年豇豆病虫害绿色防控技术方案 | 2025年玉米重大病虫害防控技术方案	https://www.moa.gov.cn/ztzl/2024cg/jszd_29651/202403/P020240322565099338361.pdf | https://nync.pingliang.gov.cn/xwdt/syjs/art/2025/art_0485c41ab99c48118b0f74868d20c84d.html	农业农村部 / 全国农技中心 | 平凉市农业农村局（转发全国农技中心方案）	防治方法/### 轻度; 防治措施来源	RESOLVED	Inline treatment citation resolved in same document source block.
蚜虫	中度	蚜虫-中度	knowledge\baidu-baike-20260818\documents\09.md	### 中度	AB135A5218B9F3C58BBAC9D3DE78C96A9A71E80534D6BC61932A098E6581F0B4	10-T1; 10-T2	2024年豇豆病虫害绿色防控技术方案 | 2025年玉米重大病虫害防控技术方案	https://www.moa.gov.cn/ztzl/2024cg/jszd_29651/202403/P020240322565099338361.pdf | https://nync.pingliang.gov.cn/xwdt/syjs/art/2025/art_0485c41ab99c48118b0f74868d20c84d.html	农业农村部 / 全国农技中心 | 平凉市农业农村局（转发全国农技中心方案）	防治方法/### 中度; 防治措施来源	RESOLVED	Inline treatment citation resolved in same document source block.
蚜虫	重度	蚜虫-重度	knowledge\baidu-baike-20260818\documents\09.md	### 重度	014CDBA24454CE406080D19D6392601DE67D07CDD56B2F8DB892FFFC5CC9502B	10-T1; 10-T2	2024年豇豆病虫害绿色防控技术方案 | 2025年玉米重大病虫害防控技术方案	https://www.moa.gov.cn/ztzl/2024cg/jszd_29651/202403/P020240322565099338361.pdf | https://nync.pingliang.gov.cn/xwdt/syjs/art/2025/art_0485c41ab99c48118b0f74868d20c84d.html	农业农村部 / 全国农技中心 | 平凉市农业农村局（转发全国农技中心方案）	防治方法/### 重度; 防治措施来源	RESOLVED	Inline treatment citation resolved in same document source block.
盲蝽科	轻度	盲蝽科-轻度	knowledge\baidu-baike-20260818\documents\10.md	### 轻度	3ABBBBED6D94D8D96261FC41E4969C4C3CAAD1CEAFB6F90B02787921903CD969	08-T1	关于印发2024年油料经济作物重大病虫害防控技术方案的通知	https://nyt.hubei.gov.cn/bmdt/yw/zbzh/202404/t20240403_5147799.shtml	湖北省农业农村厅	防治方法/### 轻度; 防治措施来源	RESOLVED	Inline treatment citation resolved in same document source block.
盲蝽科	中度	盲蝽科-中度	knowledge\baidu-baike-20260818\documents\10.md	### 中度	0B0F2E831953C6A9EA5D83FC4F07A155EEC3FB1831B4B7297EB8CA660F008313	08-T1	关于印发2024年油料经济作物重大病虫害防控技术方案的通知	https://nyt.hubei.gov.cn/bmdt/yw/zbzh/202404/t20240403_5147799.shtml	湖北省农业农村厅	防治方法/### 中度; 防治措施来源	RESOLVED	Inline treatment citation resolved in same document source block.
盲蝽科	重度	盲蝽科-重度	knowledge\baidu-baike-20260818\documents\10.md	### 重度	75382DC0DD1AC069F5176A0462D914408A3830059F1FD5BDD3EF76E609DB6427	08-T1	关于印发2024年油料经济作物重大病虫害防控技术方案的通知	https://nyt.hubei.gov.cn/bmdt/yw/zbzh/202404/t20240403_5147799.shtml	湖北省农业农村厅	防治方法/### 重度; 防治措施来源	RESOLVED	Inline treatment citation resolved in same document source block.
蝼蛄	轻度	蝼蛄-轻度	knowledge\baidu-baike-20260818\documents\11.md	### 轻度	B61ED25A90FCD9AB7628A09FEECAD92C00E4791A9C50A3B2F438C4F69EF19DB6	13-T1	志丹：春播期间地下害虫防治技术	https://nynct.shaanxi.gov.cn/zt/snzbxx/zbjs/202505/t20250509_3515856.html	陕西省农业农村厅	防治方法/### 轻度; 防治措施来源	RESOLVED	Inline treatment citation resolved in same document source block.
蝼蛄	中度	蝼蛄-中度	knowledge\baidu-baike-20260818\documents\11.md	### 中度	BD591F953D0A1183877ADE358792337B196B092C45E942DB2209E102712E5F6E	13-T1	志丹：春播期间地下害虫防治技术	https://nynct.shaanxi.gov.cn/zt/snzbxx/zbjs/202505/t20250509_3515856.html	陕西省农业农村厅	防治方法/### 中度; 防治措施来源	RESOLVED	Inline treatment citation resolved in same document source block.
蝼蛄	重度	蝼蛄-重度	knowledge\baidu-baike-20260818\documents\11.md	### 重度	B79D7FF511A75EC811DE96BA21457F965E840DD1745C540C3964222138950559	13-T1; 13-T2	志丹：春播期间地下害虫防治技术 | 春耕时节合理选购农药指导意见	https://nynct.shaanxi.gov.cn/zt/snzbxx/zbjs/202505/t20250509_3515856.html | https://nynct.nx.gov.cn/xwzx/zwdt/202502/t20250217_4826741.html	陕西省农业农村厅 | 宁夏回族自治区农业农村厅 / 自治区农业技术推广总站	防治方法/### 重度; 防治措施来源	RESOLVED	No inline ID; resolved against same document 防治措施来源 block.
叶蝉科	轻度	叶蝉科-轻度	knowledge\baidu-baike-20260818\documents\12.md	### 轻度	7D0A22CBC2145859CDA6CCA9727893E3462F3A53725A2B2099F3D7E096C53F92	02-T1; 02-T2; 02-T3	2025年园艺作物重大病虫害防控技术方案（茶树主要病虫害防控技术方案） | 春茶期茶小绿叶蝉发生动态及防治建议 | 当前茶小绿叶蝉绿色防治技术措施	https://www.agri.cn/sc/nszd/202502/t20250228_8758865.htm | https://nynct.fujian.gov.cn/ztzl/bcfsyfk/202504/t20250423_6904093.htm | https://nyncw.cq.gov.cn/wsdw/nyjstg/nszd/202411/t20241129_13845501_wap.html	中国农业农村信息网 / 全国农技中心 | 福建省农业农村厅 / 福建省植保植检总站 | 重庆市农业农村委员会	防治方法/### 轻度; 防治措施来源	RESOLVED	Inline treatment citation resolved in same document source block.
叶蝉科	中度	叶蝉科-中度	knowledge\baidu-baike-20260818\documents\12.md	### 中度	6124328D1C1AA5FA431A68600DEC9261BA5E920353F6C22A948F26287156A6AB	02-T1; 02-T3	2025年园艺作物重大病虫害防控技术方案（茶树主要病虫害防控技术方案） | 当前茶小绿叶蝉绿色防治技术措施	https://www.agri.cn/sc/nszd/202502/t20250228_8758865.htm | https://nyncw.cq.gov.cn/wsdw/nyjstg/nszd/202411/t20241129_13845501_wap.html	中国农业农村信息网 / 全国农技中心 | 重庆市农业农村委员会	防治方法/### 中度; 防治措施来源	RESOLVED	Inline treatment citation resolved in same document source block.
叶蝉科	重度	叶蝉科-重度	knowledge\baidu-baike-20260818\documents\12.md	### 重度	0FB9194DDC320ECAF4F6F81FF7D2C936EC44DA8C7D3518B8747601048C57D4C0	02-T1; 02-T3	2025年园艺作物重大病虫害防控技术方案（茶树主要病虫害防控技术方案） | 当前茶小绿叶蝉绿色防治技术措施	https://www.agri.cn/sc/nszd/202502/t20250228_8758865.htm | https://nyncw.cq.gov.cn/wsdw/nyjstg/nszd/202411/t20241129_13845501_wap.html	中国农业农村信息网 / 全国农技中心 | 重庆市农业农村委员会	防治方法/### 重度; 防治措施来源	RESOLVED	Inline treatment citation resolved in same document source block.
蝗总科	轻度	蝗总科-轻度	knowledge\baidu-baike-20260818\documents\13.md	### 轻度	CFB9F4A4FC183BB30DD094ED6A21C6E743ACC420E111D2A7264A6E7BBF9BE158	12-T1	2025年农区蝗虫防控技术方案	https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm	中国农业农村信息网 / 全国农技中心	防治方法/### 轻度; 防治措施来源	RESOLVED	Inline treatment citation resolved in same document source block.
蝗总科	中度	蝗总科-中度	knowledge\baidu-baike-20260818\documents\13.md	### 中度	C17D4572ABA71F5BA84A1D7FA01A221B6D0933E822B48055C9B9F3EEBF477037	12-T1	2025年农区蝗虫防控技术方案	https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm	中国农业农村信息网 / 全国农技中心	防治方法/### 中度; 防治措施来源	RESOLVED	Inline treatment citation resolved in same document source block.
蝗总科	重度	蝗总科-重度	knowledge\baidu-baike-20260818\documents\13.md	### 重度	56E080017CAAC0B2AF1D697C2EF636DAC418E323B3D0DCD46070BF69785E4C7E	12-T1	2025年农区蝗虫防控技术方案	https://www.agri.cn/zx/zxfb/202502/t20250228_8715477.htm	中国农业农村信息网 / 全国农技中心	防治方法/### 重度; 防治措施来源	RESOLVED	Inline treatment citation resolved in same document source block.
蛴螬	轻度	蛴螬-轻度	knowledge\baidu-baike-20260818\documents\14.md	### 轻度	1408351B2D6971AF775961B6B8D79E640994D882EC7D87FC1918FF99225B236B	11-T1; 11-T2	2026年玉米重大病虫害防控技术方案 | 2024年大豆病虫害防控技术方案	https://nynct.gxzf.gov.cn/xwdt/syjs/t27430999.shtml | https://www.moa.gov.cn/ztzl/2024cg/jszd_29651/202403/P020240312534037739896.pdf	广西壮族自治区农业农村厅 | 农业农村部 / 全国农技中心	防治方法/### 轻度; 防治措施来源	RESOLVED	Inline treatment citation resolved in same document source block.
蛴螬	中度	蛴螬-中度	knowledge\baidu-baike-20260818\documents\14.md	### 中度	C12DF7723793E253916B07570D014A097E0941AE0E9B96F1E8505CFB181F3DED	11-T1; 11-T2	2026年玉米重大病虫害防控技术方案 | 2024年大豆病虫害防控技术方案	https://nynct.gxzf.gov.cn/xwdt/syjs/t27430999.shtml | https://www.moa.gov.cn/ztzl/2024cg/jszd_29651/202403/P020240312534037739896.pdf	广西壮族自治区农业农村厅 | 农业农村部 / 全国农技中心	防治方法/### 中度; 防治措施来源	RESOLVED	Inline treatment citation resolved in same document source block.
蛴螬	重度	蛴螬-重度	knowledge\baidu-baike-20260818\documents\14.md	### 重度	68FEEF325694D7CFDFD7752A796CA699389531FDDF831D9999B43179B6E33499	11-T1	2026年玉米重大病虫害防控技术方案	https://nynct.gxzf.gov.cn/xwdt/syjs/t27430999.shtml	广西壮族自治区农业农村厅	防治方法/### 重度; 防治措施来源	RESOLVED	Inline treatment citation resolved in same document source block.
豆芫菁	轻度	豆芫菁-轻度	knowledge\baidu-baike-20260818\documents\15.md	### 轻度	70AFE9D2CDBB28158CFBD9FE2CBF61D438AEB1CA22B375ACEEF1BB6D30791609	14-T1; 14-T2	病虫情报第三期——加强田间虫情排查 严防虫害暴发危害 | 植保情报[2024]第14期：警惕食叶性害虫豆芫菁局部暴发危害	https://www.shandan.gov.cn/zfxxgk/fdzdgknr/qtfdxx/nync/202606/t20260618_1555195.html | https://www.dachuan.gov.cn/xxgk-show-146920.html	山丹县人民政府 / 农业农村局 | 达州市达川区人民政府 / 农业农村局	防治方法/### 轻度; 防治措施来源	RESOLVED	Inline treatment citation resolved in same document source block.
豆芫菁	中度	豆芫菁-中度	knowledge\baidu-baike-20260818\documents\15.md	### 中度	C8B8CCEB94D86417145773F41B062BEBEA04D85FEEA9BDAFEC659C06A9FE245F	14-T1	病虫情报第三期——加强田间虫情排查 严防虫害暴发危害	https://www.shandan.gov.cn/zfxxgk/fdzdgknr/qtfdxx/nync/202606/t20260618_1555195.html	山丹县人民政府 / 农业农村局	防治方法/### 中度; 防治措施来源	RESOLVED	Inline treatment citation resolved in same document source block.
